Maakond,Aasta,Hukkunuid,Hoone liik,Tekkepõhjus,Kuu
Tartu maakond,2016,2,eluhoone,105 Kütteseadmete kasutamisel,1
Saare maakond,2016,1,eluhoone,403 Rike elektripaigaldises,1
Lääne maakond,2016,1,eluhoone,105 Kütteseadmete kasutamisel,1
Järva maakond,2016,1,eluhoone,105 Kütteseadmete kasutamisel,1
Ida-Viru maakond,2016,2,eluhoone,102 Suitsetamisel,1
Harju maakond,2016,1,eluhoone,102 Suitsetamisel,1
Harju maakond,2016,1,eluhoone,601 Kindlaks tegemata põhjus,1
Harju maakond,2016,1,eluhoone,402 Rike elektriseadmes,2
Pärnu maakond,2016,1,eluhoone,104 Elektriseadmete kasutamisel,3
Põlva maakond,2016,1,eluhoone,104 Elektriseadmete kasutamisel,3
Harju maakond,2016,1,eluhoone,601 Kindlaks tegemata põhjus,3
Viljandi maakond,2016,1,eluhoone,105 Kütteseadmete kasutamisel,4
Põlva maakond,2016,1,eluhoone,402 Rike elektriseadmes,4
Harju maakond,2016,4,eluhoone,102 Suitsetamisel,4
Ida-Viru maakond,2016,1,eluhoone,102 Suitsetamisel,5
Ida-Viru maakond,2016,2,eluhoone,402 Rike elektriseadmes,5
Harju maakond,2016,1,mitteeluhoone,601 Kindlaks tegemata põhjus,5
Ida-Viru maakond,2016,1,eluhoone,102 Suitsetamisel,7
Valga maakond,2016,1,eluhoone,102 Suitsetamisel,9
Rapla maakond,2016,1,eluhoone,102 Suitsetamisel,10
Harju maakond,2016,1,eluhoone,105 Kütteseadmete kasutamisel,10
Harju maakond,2016,1,eluhoone,102 Suitsetamisel,10
Pärnu maakond,2016,1,mitteeluhoone,601 Kindlaks tegemata põhjus,11
Lääne-Viru maakond,2016,1,eluhoone,102 Suitsetamisel,11
Järva maakond,2016,1,eluhoone,110 Muu hooletus,11
Tartu maakond,2016,1,eluhoone,601 Kindlaks tegemata põhjus,12
Tartu maakond,2016,2,eluhoone,105 Kütteseadmete kasutamisel,12
Järva maakond,2016,1,eluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2016,1,mitteeluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2016,1,eluhoone,102 Suitsetamisel,12
Tartu maakond,2017,1,eluhoone,102 Suitsetamisel,1
Harju maakond,2017,1,eluhoone,402 Rike elektriseadmes,1
Lääne-Viru maakond,2017,2,eluhoone,601 Kindlaks tegemata põhjus,2
Harju maakond,2017,1,eluhoone,102 Suitsetamisel,2
Tartu maakond,2017,1,mitteeluhoone,601 Kindlaks tegemata põhjus,3
Saare maakond,2017,1,eluhoone,102 Suitsetamisel,3
Ida-Viru maakond,2017,1,eluhoone,402 Rike elektriseadmes,3
Harju maakond,2017,1,eluhoone,601 Kindlaks tegemata põhjus,3
Ida-Viru maakond,2017,1,eluhoone,102 Suitsetamisel,4
Harju maakond,2017,1,eluhoone,104 Elektriseadmete kasutamisel,4
Valga maakond,2017,1,eluhoone,102 Suitsetamisel,5
Saare maakond,2017,1,eluhoone,601 Kindlaks tegemata põhjus,5
Rapla maakond,2017,1,eluhoone,102 Suitsetamisel,5
Pärnu maakond,2017,1,eluhoone,404 Rike kütteseadmes,5
Lääne-Viru maakond,2017,1,eluhoone,102 Suitsetamisel,5
Harju maakond,2017,1,eluhoone,101 Lahtise tule kasutamisel,6
Lääne-Viru maakond,2017,1,eluhoone,102 Suitsetamisel,7
Harju maakond,2017,1,eluhoone,102 Suitsetamisel,7
Harju maakond,2017,1,eluhoone,102 Suitsetamisel,9
Võru maakond,2017,1,eluhoone,102 Suitsetamisel,10
Lääne maakond,2017,1,eluhoone,104 Elektriseadmete kasutamisel,10
Hiiu maakond,2017,1,eluhoone,102 Suitsetamisel,10
Harju maakond,2017,2,eluhoone,102 Suitsetamisel,10
Võru maakond,2017,1,eluhoone,101 Lahtise tule kasutamisel,11
Viljandi maakond,2017,1,eluhoone,102 Suitsetamisel,11
Tartu maakond,2017,1,eluhoone,101 Lahtise tule kasutamisel,11
Põlva maakond,2017,1,eluhoone,101 Lahtise tule kasutamisel,11
Viljandi maakond,2017,2,eluhoone,102 Suitsetamisel,12
Tartu maakond,2017,1,eluhoone,102 Suitsetamisel,12
Pärnu maakond,2017,1,mitteeluhoone,101 Lahtise tule kasutamisel,12
Järva maakond,2017,1,eluhoone,101 Lahtise tule kasutamisel,12
Ida-Viru maakond,2017,1,eluhoone,102 Suitsetamisel,12
Ida-Viru maakond,2017,1,eluhoone,410 Seadme või süsteemi vale paigaldus,12
Harju maakond,2017,1,eluhoone,402 Rike elektriseadmes,12
Harju maakond,2017,1,eluhoone,102 Suitsetamisel,12
Järva maakond,2018,1,eluhoone,102 Suitsetamisel,1
Harju maakond,2018,1,eluhoone,601 Kindlaks tegemata põhjus,1
Viljandi maakond,2018,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),2
Jõgeva maakond,2018,1,eluhoone,403 Rike elektripaigaldises,2
Ida-Viru maakond,2018,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),2
Harju maakond,2018,2,eluhoone,102 Suitsetamisel,2
Võru maakond,2018,1,eluhoone,601 Kindlaks tegemata põhjus,3
Lääne-Viru maakond,2018,1,eluhoone,101 Lahtise tule kasutamisel,3
